id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,jumlah_ritasi_sampah,satuan,tahun
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,2028,RIT,2020
194,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,1986,RIT,2020
195,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1867,RIT,2020
196,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1826,RIT,2020
197,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1698,RIT,2020
198,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,2024,RIT,2020
199,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1236,RIT,2020
200,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,1107,RIT,2020
201,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,1278,RIT,2020
202,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,1360,RIT,2020
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,1185,RIT,2020
204,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,1421,RIT,2020
205,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,1367,RIT,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1349,RIT,2020
207,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,1350,RIT,2020
208,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,1414,RIT,2020
209,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,1314,RIT,2020
210,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1487,RIT,2020
211,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,8430,RIT,2020
212,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,7633,RIT,2020
213,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,8235,RIT,2020
214,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,7775,RIT,2020
215,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,7566,RIT,2020
216,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,7876,RIT,2020
217,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,8193,RIT,2020
218,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,8146,RIT,2020
219,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,8117,RIT,2020
220,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,8306,RIT,2020
221,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,7986,RIT,2020
222,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,8307,RIT,2020
223,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1814,RIT,2020
224,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1674,RIT,2020
225,32,JAWA BARAT,3277,KOTA CIMAHI,3,MARET,1786,RIT,2020
